id,category,note
0,literal,"they've been dead thirty years - relative"
1,intensifier,"dead panic - fixed intensifier meaning total panic"
2,literal,"prayer for the dead - the deceased"
3,literal,"hes been dead fourteen years - husband"
4,literal,"people I was evacuated with are all dead"
5,literal,"my sister's dead and gone"
6,literal,"he's dead - few years older"
7,literal,"if they're dead or alive"
8,literal,"make-up on dead people"
9,literal,"make-up on dead people"
10,literal,"oh she dead (MLE zero copula) - re mum"
11,literal,"she's dead - re mum"
12,literal,"mum's mum's dead"
13,literal,"uncles is dead - hanged himself"
14,literal,"aunt is dead - died of alcoholism"
15,literal,"she's dead"
16,literal,"one of them's dead"
17,literal,"he's dead"
18,literal,"seriously dead"
19,literal,"seen a dead person"
20,literal,"name of the dead - film reference"
21,literal,"name of the dead - film reference"
22,literal,"name the dead - film reference"
23,literal,"name of the dead - film reference"
24,literal,"name of the dead - film reference"
25,literal,"he weren't dead"
26,literal,"phone was just dead - non-functional"
27,literal,"battery went dead - non-functional"
28,literal,"could have been dead"
29,literal,"I wish I was dead"
30,literal,"battery gone dead"
31,literal,"they be dead - re babies/foetus"
32,literal,"it be dead - re foetus"
33,literal,"dead baby - stillbirth"
34,unclear,"you would dead - garbled context"
35,evaluative,"hear the wind dead innit - area is lifeless/quiet"
36,evaluative,"dead just - continuation re quiet area"
37,evaluative,"my brain is dead innit - brain dead idiom = exhausted"
38,literal,"she's dead like she ain't got no soul"
39,literal,"parents are all dead"
40,literal,"living dead dolls - compound noun for toys"
41,literal,"living dead dolls"
42,literal,"living dead dolls"
43,literal,"dead really - dolls look like corpses"
44,literal,"just like dead - look like corpses"
45,intensifier,"dead arm - fixed expression for numb arm"
46,unclear,"before it's your dead - garbled"
47,literal,"would be dead"
48,literal,"re nan being dead"
49,literal,"granddad's dead"
50,literal,"dead end - fixed compound (situation)"
51,literal,"granddad's been dead seven years"
52,literal,"they're dead - great grandparents"
53,literal,"battery's dead"
54,literal,"someone's dead - re gunshot"
55,literal,"you're dead - metaphor for being ignored"
56,intensifier,"dead beat fathers - deadbeat compound"
57,literal,"she'd been dead thirty years"
58,evaluative,"dead land - boring/lifeless"
59,literal,"no he's dead - re grandad"
60,literal,"both sides are dead"
61,literal,"dead body - compound"
62,literal,"2pac he's dead now"
63,literal,"battery is dead"
64,literal,"this is dead - phone non-functional"
65,literal,"phone was dead"
66,intensifier,"my foot was dead - numb foot (figurative)"
67,unclear,"could have got that dead - context unclear"
68,literal,"great great grandad's dead"
69,literal,"they're both dead"
70,literal,"they're both dead"
71,literal,"grandad was dead before I was born"
72,literal,"mum's parents are both dead"
73,literal,"might even be dead by now"
74,literal,"he'll be dead soon"
75,literal,"no he's dead - re natural dad"
76,literal,"grandparents are dead"
77,intensifier,"literally went dead - went numb"
78,literal,"he can't be dead"
79,literal,"dad's mum is dead"
80,literal,"dad is dead"
81,unclear,"gets dead and then morning tired - re weed context"
82,literal,"ended up nearly dead"
83,literal,"he's dead - threat (if stabbed again)"
84,literal,"he's dead"
85,literal,"he's dead the next time"
86,literal,"he dead - zero copula MLE"
87,literal,"he dead - zero copula MLE"
88,intensifier,"dead legs - fixed expression for thumped/numb legs"
89,literal,"you could be dead"
90,literal,"dead needles - used/discarded needles"
91,intensifier,"dead fast - very fast"
92,literal,"you're dead may get killed"
93,intensifier,"dead cheap - very cheap"
94,literal,"granddad's dead now"
95,literal,"most of them are dead"
96,literal,"they're dead - drowned"
97,literal,"they're dead"
98,literal,"definitely dead"
99,literal,"she's dead - sister"
100,evaluative,"it used to be dead - area was lifeless"
101,literal,"kids dropping dead"
102,evaluative,"it's well dead round there - area is boring"
103,evaluative,"proper dead round there - area is boring"
104,literal,"found dead in his house"
105,literal,"found dead in Epping Forest"
106,literal,"I'm dead - parents will kill me"
107,literal,"I would be dead"
108,literal,"I would be dead"
109,literal,"he's dead - re artist"
110,literal,"dead body"
111,literal,"dead body"
112,literal,"dead body"
113,literal,"dead van - van for bodies"
114,literal,"dead guy"
115,literal,"dead guy"
116,literal,"dead bodies"
117,literal,"dead body"
118,literal,"dead body"
119,literal,"I could be dead"
120,evaluative,"just a bit dead - place is boring"
121,literal,"no all dead - grandparents"
122,literal,"dropped dead - died"
123,literal,"real fish yeah dead"
124,literal,"he's dead now"
125,literal,"he's been dead six years"
126,literal,"she's dead now"
127,literal,"he's dead"
128,literal,"he's dead"
129,literal,"she's been dead"
130,intensifier,"exactly dead on - exactly/precisely"
131,intensifier,"neighbour dead opposite - directly opposite"
132,literal,"she's way dead now"
133,literal,"people dead and dying"
134,literal,"dead head - gardening term (compound)"
135,literal,"dead flies"
136,intensifier,"dead lucky - very lucky"
137,literal,"dead end - fixed compound"
138,literal,"he's dead now"
139,literal,"I thought he was dead"
140,literal,"is he dead"
141,literal,"he was dead"
142,literal,"he's dead now"
143,literal,"granddad's dead"
144,literal,"dead body"
145,literal,"like a dead animal - simile"
146,literal,"eating dead animals"
147,unclear,"dead - re dog deteriorating, fragment"
148,literal,"wasn't dead that time"
149,literal,"his grandmother was dead"
150,literal,"he's dead - twin"
151,literal,"it's gone dead - non-functional"
152,literal,"he's dead"
153,literal,"dead battery"
154,literal,"dead battery"
155,evaluative,"kinda dead though compared to other areas"
156,literal,"was he dead"
157,literal,"he wasn't dead"
158,evaluative,"over dead - village quiet/boring"
159,evaluative,"it's dead - explicitly defined as boring"
160,evaluative,"dead it's dead it's dry"
161,evaluative,"dead it's dry"
162,literal,"you're dead - threat re drugs"
163,literal,"if you're dead - re breathing"
164,literal,"back from the dead - fixed expression"
165,literal,"from the dead"
166,literal,"I should be dead"
167,literal,"how you define dead"
168,literal,"you were dead when you were born"
169,evaluative,"dead now to be honest - re area"
170,literal,"my mum was dead"
171,literal,"the boy dead - zero copula MLE"
172,literal,"they're all dead innit"
173,literal,"he's dead - re person"
174,literal,"you'll be dead - threat"
175,literal,"you will be dead - threat"
176,literal,"you will be dead - threat"
177,literal,"you'd be dead - threat"
178,literal,"mum dead - zero copula MLE"
179,literal,"auntie dead - zero copula MLE"
180,literal,"auntie was dead"
181,literal,"dead - re beating to ground (threat)"
182,literal,"he's dead by me anyway - dead to me idiom"
183,literal,"they're dead - in game/threat"
184,literal,"dad's dead"
185,literal,"you're already dead - threat"
186,literal,"you already dead - zero copula MLE threat"
187,literal,"you already dead - threat"
188,literal,"bang I dead - zero copula MLE"
189,literal,"three of them are dead"
190,literal,"they're all dead - rappers"
191,literal,"all dead - rappers"
192,literal,"they end up dead"
193,literal,"you're dead - threat"
194,literal,"you're dead - threat"
195,literal,"you're dead - threat"
196,literal,"I'm dead - I'm in trouble/screwed"
197,literal,"touch me and you're dead - threat"
198,literal,"dead little animals"
199,literal,"he's dead already - threat/metaphor"
200,literal,"pretends to be dead"
201,literal,"you're dead - threat"
202,intensifier,"dead meat - fixed idiom (in trouble)"
203,literal,"he's dead - in fight"
204,literal,"find him dead"
205,literal,"you're dead and nobody misses you - metaphor"
206,literal,"he was dead"
207,literal,"she was dead"
208,literal,"everyone of them's dead"
209,literal,"is he dead or alive"
210,literal,"he's dead or alive"
211,literal,"is he dead is he alive"
212,literal,"I'd be dead - re mum's reaction"
213,evaluative,"it's dead - re tutor/class boring"
214,literal,"dead end - fixed compound"
